Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-10 03:58:29Z : PB = 175017984 : In   : -------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-10 03:58:29Z : PB = 175063040 : Out  : -------------------- StyleCop.StyleCopCore..ctor()
2022-10-10 03:58:29Z : PB = 175599616 : Out  : ----------------- StyleCop.StyleCopCore.Initialize()
C:\Users\user\Documents\大學三年級\111-1-Windows-Programming\HW2\debug.log
ResolveFWLinkAccountManager statusCode is redirect: 'True'
ResolveFWLinkAccountManager resovled fwlink from 'https://go.microsoft.com/fwlink/?LinkID=415837' to 'https://app.vssps.visualstudio.com/'
Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-10 13:24:41Z : PB = 354566144 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-10-10 13:24:41Z : PB = 354611200 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-10-10 13:24:41Z : PB = 355237888 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\大學三年級\111-1-Windows-Programming\HW2\debug.log
2022-10-10 13:24:44Z : PB = 359079936 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-10-10 13:24:44Z : PB = 361021440 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-10-10 13:24:44Z : PB = 361021440 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-10-10 13:24:44Z : PB = 361021440 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-10-10 13:24:44Z : PB = 361050112 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-10-10 13:24:45Z : PB = 360345600 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-10-10 13:24:45Z : PB = 360349696 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-10-10 13:24:45Z : PB = 360361984 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-10-10 13:24:45Z : PB = 360382464 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-10-10 13:24:45Z : PB = 361263104 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
